coding	meaning
412412006	Amrinone
386181008	Isoetarine
162409008	C/O: a general symptom
182640003	Injection around joint
182640003	Periarticular injection
183684009	Referral to Macmillan nurse
224553003	Macmillan nurse
272008009	C/O - a neck symptom
272035000	C/O - a head symptom
281399006	Did not attend
281399006	Failed to attend
281399006	DNA - Did not attend
305563008	Under care of Macmillan nurse
305740001	Seen by Macmillan nurse
306034007	Referral from Macmillan nurse
306034007	Referral by Macmillan nurse
182640003	Periarticular injection (procedure)
183684009	Referral to Macmillan nurse (procedure)
224553003	Macmillan nurse (occupation)
272008009	C/O - a neck symptom (context-dependent category)
272035000	C/O - a head symptom (context-dependent category)
281399006	Did not attend (finding)
305563008	Under care of Macmillan nurse (finding)
305740001	Seen by Macmillan nurse (finding)
306034007	Referral by Macmillan nurse (procedure)
401202005	DNA - Did not attend mental health appointment
401202005	Did not attend mental health appointment
408336008	Did not attend physiotherapy appointment (finding)
408336008	Did not attend physiotherapy appointment
413597006	Attended diabetes structured education program
413597006	Attended diabetes structured education programme
162409008	Complaining of a general symptom (finding)
272035000	Complaining of a head symptom (finding)
272008009	Complaining of a neck symptom (finding)
162409008	Complaining of a general symptom
272035000	Complaining of a head symptom
272008009	Complaining of a neck symptom
413597006	Attended diabetes structured education program (finding)
401202005	Did not attend mental health appointment (finding)
281399006	No show
326875008	Methotrexate 10 mg oral tablet
326875008	Product containing precisely methotrexate 10 milligram/1 each conventional release oral tablet (clinical drug)
1287380004	Siponimod fumaric acid
13089501000001107	UK device (physical object)
13089501000001107	UK device
897292004	Satralizumab
897292004	Satralizumab (product)
312184007	L-Methionine
138875005	31.4.0_20210217000001 UK drug extension
1.5841E+13	Mass concentration of total protein in fluid (observable entity)
1.5551E+13	Substance concentration of urea in fluid (observable entity)
777387005	Antithymocyte immunoglobulin (rabbit)
1.4181E+13	Catalytic activity of gamma-glutamyl transpeptidase in fluid (observable entity)
1.3541E+13	Substance concentration of magnesium in fluid (observable entity)
1.2411E+13	Creatinine molar concentration in fluid
1.1461E+13	Catalytic activity of alkaline phosphatase in fluid (observable entity)
1.2891E+13	Bilirubin molar concentration in fluid
1.3541E+13	Magnesium molar concentration in fluid
1.5551E+13	Urea molar concentration in fluid
1.1461E+13	Alkaline phosphatase enzyme activity in fluid
1.5841E+13	Protein, total mass concentration in fluid
138875005	26.9.0_20190515000001 UK drug extension
1.2411E+13	Substance concentration of creatinine in fluid (observable entity)
1.2891E+13	Substance concentration of bilirubin in fluid (observable entity)
1105831000000101	Substance concentration of 25-Hydroxyvitamin D3 in serum (observable entity)
385095004	Dental suspension (qualifier value)
775316007	Clorazepic acid (product)
73892005	Cochineal
777387005	Antithymocyte immunoglobulin (rabbit) (product)
409291008	Perflutren
409291008	Perflutren
777608006	Borage oil
718329006	Infiltration (qualifier value)
718329006	Infiltration
412049009	Psyllium husks (substance)
412049009	Psyllium husks (substance)
412049009	Psyllium husks
412049009	Psyllium husks
777608006	Borage oil (product)
138875005	37.6.0_20240313000001 UK drug extension
138875005	37.6.0_20240313000001 UK drug extension
138875005	33.0.0_20220511000001 UK drug extension
138875005	33.0.0_20220511000001 UK drug extension
776947000	Normal immunoglobulin human
776203002	Immunoglobulin human
3.7341E+13	Alert note (administrative concept)
775731000	Edetate
775967003	Omega 3 fatty acid (fish derived) (product)
5.8761E+13	Intracholangiopancreatic (qualifier value)
412029000	Eptotermin alfa (substance)
6.0881E+13	Qualitative result of Epstein-Barr virus deoxyribonucleic acid nucleic acid amplification (observable entity)
5.0211E+13	Qualitative result of Hepatitis C virus antibody in serum (observable entity)
6.0881E+13	EBV (Epstein-Barr virus) DNA nucleic acid amplification qualitative result
5.0211E+13	HCV (hepatitis C virus) antibody in serum qualitative result
5.8761E+13	Intracholangiopancreatic
5.0371E+13	Qualitative result of cytomegalovirus deoxyribonucleic acid nucleic acid amplification (observable entity)
5.2441E+13	Hepatitis B virus DNA nucleic acid amplification qualitative result
53584007	Methacholine (product)
53584007	Methacholine (product)
53584007	Methacholine
53584007	Methacholine
5.0221E+13	Qualitative result of Cytomegalovirus antibody in serum (observable entity)
5.4111E+13	Mass concentration of globulin in plasma (observable entity)
5.5701E+13	Potassium molar concentration in blood
5.5701E+13	Substance concentration of potassium in blood (observable entity)
5.4381E+13	Sodium molar concentration in blood
5.4111E+13	Globulin mass concentration in plasma
5.4661E+13	Substance concentration of magnesium in blood (observable entity)
5.6991E+13	Glucose molar concentration in blood
408755005	Chorioinc gonadotrophin (substance)
5.4661E+13	Magnesium molar concentration in blood
5.6991E+13	Substance concentration of glucose in blood (observable entity)
5.4381E+13	Substance concentration of sodium in blood (observable entity)
31347007	Liquorice (substance)
259577009	Stearic acid (substance)
5.2441E+13	Qualitative result of Hepatitis B virus deoxyribonucleic acid nucleic acid amplification (observable entity)
5.0371E+13	CMV (cytomegalovirus) DNA nucleic acid amplification qualitative result
26604007	Full blood count
28317006	Haematocrit - PCV level
54706004	Mean cell haemoglobin level
269817005	Gluc-6-phosphate dehydrog test
165504005	Red cell G6PD screening test
42525009	Activ part thromboplastin time
271215008	Plasma free/total prot S ratio
36288005	Plasma antithrombin III level
57399005	Plasma plasminogen level
165590006	Plasma factor VIII rel antigen
68902004	Plasma factor XII level
8196005	Plasma factor VII level
24247004	Euglobulin clot lysis time
69152001	Red blood cell folate level
19821003	Carboxyhaemoglobin level
165689009	Microscopy malarial parasites
113039000	Red cell osmotic fragility
51106007	Neutrophil alkaline phos level
165705008	Plasma intr inhib screen test
165706009	Plasma extr inhib screen test
165841003	Rheumatd arthritis latex test
104328008	Antimitochond autoantib level
165867008	IgM anticardiolipin level
165868003	IgG anticardiolipin level
74261006	Intrinsic factr antibody level
122157009	Anti-liver-kid microsom ab lev
271044002	Serum endomysium antibod level
397587005	Radio-allergosorbent test
166163003	Lymphocyte prolif ability est
104994008	Free triiodothyronine level
5113004	Free thyroxine level
61167004	Thyroid stimulating horm lev
31003009	Follicle stimulating horm lev
270972001	Se 17a-hydroxyprogesterone lev
166468004	Se dehydroepiandrosterone lev
271541003	Serum parathyr hormone level
104404005	Serum alpha-fetoprotein level
89659001	Serum amylase level
270978002	Serum A1 acid glycoprot level
270980008	Plasma C-reactve protein level
166585000	Serum sex hormne binding glob
39748002	Conjugated bilirubin level
271051006	Serum conj/total bilirub ratio
271234008	Serum alkal phosphatase level
166633008	Alk. Phos. Isoenzyme studies
34608000	ALT/SGPT serum level
166672007	Serum CPK MB isoenzyme level
271241002	Serum inorgan phosphate level
113075003	Serum creatinine level
166839009	Ser random HDL cholesterol lev
166840006	Serum fast LDL cholesterol lev
166849007	Serum fasting triglyceride lev
166850007	Serum random triglyceride lev
33747003	Blood glucose level
60267001	Carcinoembryonic antigen level
80529009	Carbohydrate antigen 125 level
167071008	Plasma fasting lipopr level
167073006	Plasma fast HDL cholest level
167074000	Plasma rndm LDL cholest level
167075004	Plasma fast LDL cholest level
167084004	Plasma fast triglyceride level
167088001	Serum 2-hr post-prand gluc lev
167097002	Plasma 2-hr post-pran gluc lev
167257008	High senstivty urine preg test
269886006	Urine free cortisol 24h assay
271262001	Urine inorgan phosphate level
82552000	Urine 5-OH ind acet ac level
167804000	Total sperm count
167813003	Dens morph normal motile sperm
64302003	Stone analysis
14788002	Sample: organism sensitivity
31709000	Anti-neut cytoplasm antib lev
271221007	Female sex horm - serum level
271222000	Male sex horm - serum level
271227006	Serum insulin - C-polypept lev
271059008	Ser HDL/non-HDL cholest ratio
167376008	Urine chorion gonadotroph lev
30995002	Urine oestriol level
83683004	Urine oestrogen level
167382006	Urine follicle stim horm level
14932002	Urine Bence Jones protein lev
168132005	Micro, culture & sensitivities
104098008	Percentage nucleated RBCs
7786006	Venereal dis research lab test
9232009	Fluores treponem antibody test
27904004	La antibody level
87459003	Sm antibody level
271548009	Alk phos-liver isoenzyme level
310628003	Urine cocaine metabolit screen
271010009	Urine mucopolysacch levels
28317006	Haematocrit
271339000	Galact-1-phos urid transf test
19739004	Heparin assay
70648006	DDimer level
24643008	Factor IX inhibitor activity
313596003	Factor IX relat antigen level
313597007	Factor VIII vWF ratio
90853007	Factor VIIIc level
48627002	Protein C level
16690007	Prothrombin consumption
51805009	Unsat iron binding capacity
313690003	Haemoglob alk electrophoresis
104149001	Acidified serum test
81937003	Red blood cell survival
312462002	Trep pallid partic inhib test
165870007	Mitochond antibody screening
165875002	Lupus anticoagulant index
117891003	Basement membr antibody level
27115008	Microsomal autoantibodies
252295005	Intrins factor antibody screen
118002003	Thyroid peroxidase antibod lev
90665009	Epidermal antibody level
37076009	Insulin antibody level
104401002	Myelin antibody level
82886000	Phospholipid antibody level
69508000	Sperm antibody level
31753005	Striated muscle antibody level
6614002	ssDNA binding autoantibody lev
397600000	Skin antibody level
117987007	Proteinase 3 antibody level
37954002	L.E. cell level
37209005	C1-esterase inhib activit test
252323005	Tot haemolyt compl titr class
104309001	Cytomegalovirus IgM level
313954007	EBV nuclear IgG level
56091006	IgG subclass 2 level
63414002	IgG subclass 3 level
35875005	Scl 70 antibody level
33732007	Jo-1 antibody level
388491001	Almond RAST test
388685006	Apple RAST test
392479004	Aspergillus fumigat RAST test
388658004	Barley RAST test
392455001	Bee RAST test
388512007	Brazil nut RAST test
388493003	Cashew RAST test
5.0221E+13	CMV (cytomegalovirus) antibody in serum qualitative result
392402007	Cat dander RAST test
388731004	Cherry RAST test
392486007	Cladosporium RAST test
388646004	Cod RAST test
392357005	Cypress RAST test
397639009	Fish RAST test
392424007	Goat RAST test
388456009	Grass pollen RAST test
392428005	Hamster epithelium RAST test
392429002	Horse dander RAST test
388690009	Milk RAST test
392342003	Nettle RAST test
775316007	Clorazepic acid
113056008	CD4/CD8 ratio
313604004	CMV IgG antibody level
79172007	HBeAg antibody level
65911000	HBsAg antibody level
28804003	HIV1 antibody level
27494001	HIV2 antibody level
104287003	Legionella antibody level
104291008	Mycoplasma antibody level
104305007	Toxoplasma antibody level
122078009	Rabies antibody level
388487006	Orange RAST test
388500008	Peanut RAST test
388735008	Pear RAST test
388561009	Pecan nut RAST test
388727005	Pistachio RAST test
392335003	Plantain RAST test
388732006	Plum RAST test
388755009	Sesame seed RAST test
392450006	Sheep RAST test
392322007	Sunflower RAST test
388681002	Tomato RAST test
388464003	Tree pollen RAST test
388664006	Walnut RAST test
392458004	Wasp RAST test
388466001	Weed pollen RAST test
388740000	Yeast RAST test
313520003	Fluid anti-nuclear factor lev
117916008	Neuronal antibody level
117923009	Ovarian antibody level
32660008	Pm-1 antibody level
314094003	Lupus anticoag screening test
314095002	Intrins factor ab screen test
38929004	Thyroxine binding glob level
269847007	Thyroid releasing hormone lev
313918008	30 min plasma prolactin level
313919000	150 min plasma prolactin level
313888002	30 min serum prolactin level
313886003	60 min serum prolactin level
313889005	150 min serum prolactin level
271225003	Serum ADH-argin vasop level
313809007	30 min plasma cortisol level
313721001	60 min plasma cortisol level
313722008	150 min plasma cortisol level
313908003	180 min plasma cortisol level
313909006	240 min plasma cortisol level
313717008	120 min serum cortisol level
313718003	150 min serum cortisol level
313925001	210 min serum cortisol level
313907008	240 min serum cortisol level
41668001	Serum 17alphydroxyprogest lev
271540002	Serum pancr polypeptide level
313937004	Serum IGF 2 level
271050007	Serum pseudocholinestase level
64335008	Faecal trypsin level
51106007	Leucocyte alk phosph level
313531006	Serum immunoreact trypsin lev
313783001	Tart resis serum acid phos lev
313841001	Plasma conj bilirubin level
271548009	Alk phos-liver isoenzyme level
313848007	Plas alk phos bile enzyme lev
313847002	Ser alk phos bile enzyme lev
313845005	Ser alk phos bone enzyme level
313849004	Serum gamma GT level
271235009	Total lactic dehydrogen level
776947000	Normal immunoglobulin human (product)
313852007	Plasma AST level
313854008	Serum LDH level
313817004	Cor plasma creatinine level
85554007	Serum copper level
313755003	Plasma 1,25-DiHO vit D3 level
313757006	Serum 25-HO vit D3 level
104583003	Hi dens lipoprt/tot chol ratio
76819007	Phenylalanine level
43396009	Haemoglobin A1c level
7740009	Fructosamine level
313775007	Growth hormone stim test
31495002	Blood bromide level
25579001	Arterial part press of oxygen
313871009	Plasma free beta HCG level
313769003	Serum apolipoprot A-II level
313763002	Plasma apolipoprot A-II level
22569008	Serum glucose level
313627007	120 min plasma glucose level
313628002	150 min plasma glucose level
1324000	CSF IgG/albumin ratio
313534003	Urine VMA/creatinine ratio
313766005	Urine thiosul/creatinine ratio
314087001	Serum haptoglobin screen test
314084008	Ur dihydrocodeine screen test
44277000	Renal function tests
19518008	24 hour urine protein output
